fdc_id,description,food_category,data_type,brand_owner,ingredients_text,dedup_key,calories,protein_g,carbs_g,fat_g,fiber_g,iron_mg,calcium_mg,vitamin_b12_mcg,vitamin_d_mcg,zinc_mg,sodium_mg,potassium_mg,magnesium_mg,omega3_g
174211,"Crustaceans, spiny lobster, mixed species, raw",,SR Legacy,,,"crustaceans, spiny lobster, mixed species, raw|",,,,,,,,,,,,,,
169225,"Cucumber, peeled, raw",,SR Legacy,,,"cucumber, peeled, raw|",,,,,,,,,,,,,,
173963,"Currants, european black, raw",,SR Legacy,,,"currants, european black, raw|",,,,,,,,,,,,,,
173964,"Currants, red and white, raw",,SR Legacy,,,"currants, red and white, raw|",,,,,,,,,,,,,,
171724,"Currants, zante, dried",,SR Legacy,,,"currants, zante, dried|",,,,,,,,,,,,,,
171725,"Custard-apple, (bullock's-heart), raw",,SR Legacy,,,"custard-apple, (bullock's-heart), raw|",,,,,,,,,,,,,,
169351,"Dandelion greens, cooked, boiled, drained, with salt",,SR Legacy,,,"dandelion greens, cooked, boiled, drained, with salt|",,,,,,,,,,,,,,
169227,"Dandelion greens, cooked, boiled, drained, without salt",,SR Legacy,,,"dandelion greens, cooked, boiled, drained, without salt|",,,,,,,,,,,,,,
169226,"Dandelion greens, raw",,SR Legacy,,,"dandelion greens, raw|",,,,,,,,,,,,,,
172754,"Danish pastry, cheese",,SR Legacy,,,"danish pastry, cheese|",,,,,,,,,,,,,,
172753,"Danish pastry, cinnamon, enriched",,SR Legacy,,,"danish pastry, cinnamon, enriched|",,,,,,,,,,,,,,
172824,"Danish pastry, cinnamon, unenriched",,SR Legacy,,,"danish pastry, cinnamon, unenriched|",,,,,,,,,,,,,,
172755,"Danish pastry, fruit, enriched (includes apple, cinnamon, raisin, lemon, raspberry, strawberry)",,SR Legacy,,,"danish pastry, fruit, enriched (includes apple, cinnamon, raisin, lemon, raspberry, strawberry)|",,,,,,,,,,,,,,
172825,"Danish pastry, fruit, unenriched (includes apple, cinnamon, raisin, strawberry)",,SR Legacy,,,"danish pastry, fruit, unenriched (includes apple, cinnamon, raisin, strawberry)|",,,,,,,,,,,,,,
172827,"Danish pastry, lemon, unenriched",,SR Legacy,,,"danish pastry, lemon, unenriched|",,,,,,,,,,,,,,
175061,"Danish pastry, raspberry, unenriched",,SR Legacy,,,"danish pastry, raspberry, unenriched|",,,,,,,,,,,,,,
171726,"Dates, deglet noor",,SR Legacy,,,"dates, deglet noor|",,,,,,,,,,,,,,
168191,"Dates, medjool",,SR Legacy,,,"dates, medjool|",,,,,,,,,,,,,,
167622,"Deer (venison), sitka, raw (Alaska Native)",,SR Legacy,,,"deer (venison), sitka, raw (alaska native)|",,,,,,,,,,,,,,
168079,"DENNY'S, chicken nuggets, star shaped, from kid's menu",,SR Legacy,,,"denny's, chicken nuggets, star shaped, from kid's menu|",,,,,,,,,,,,,,
169022,"DENNY'S, chicken strips",,SR Legacy,,,"denny's, chicken strips|",,,,,,,,,,,,,,
169023,"DENNY'S, coleslaw",,SR Legacy,,,"denny's, coleslaw|",,,,,,,,,,,,,,
169024,"DENNY'S, fish fillet, battered or breaded, fried",,SR Legacy,,,"denny's, fish fillet, battered or breaded, fried|",,,,,,,,,,,,,,
167672,"DENNY'S, french fries",,SR Legacy,,,"denny's, french fries|",,,,,,,,,,,,,,
